Date,Artist,Song,Weeks
12/2/1991,Michael Jackson,Black Or White,3
12/9/1991,Michael Jackson,Black Or White,4
12/16/1991,Michael Jackson,Black Or White,5
12/23/1991,Michael Jackson,Black Or White,6
12/30/1991,Michael Jackson,Black Or White,7
1/6/1992,Michael Jackson,Black Or White,8
1/13/1992,Michael Jackson,Black Or White,9
1/20/1992,Color Me Badd,All 4 Love,12
1/27/1992,George Michael/Elton John,Don't Let The Sun Go Down On Me,9
2/3/1992,Right Said Fred,I'm Too Sexy,8
2/10/1992,Right Said Fred,I'm Too Sexy,9
2/17/1992,Right Said Fred,I'm Too Sexy,10
2/24/1992,Mr. Big,To Be With You,11
3/2/1992,Mr. Big,To Be With You,12
3/9/1992,Mr. Big,To Be With You,13
3/16/1992,Vanessa Williams,Save The Best For Last,8
3/23/1992,Vanessa Williams,Save The Best For Last,9
3/30/1992,Vanessa Williams,Save The Best For Last,10
4/6/1992,Vanessa Williams,Save The Best For Last,11
4/13/1992,Vanessa Williams,Save The Best For Last,12
4/20/1992,Kris Kross,Jump,4
4/27/1992,Kris Kross,Jump,5
5/4/1992,Kris Kross,Jump,6
5/11/1992,Kris Kross,Jump,7
5/18/1992,Kris Kross,Jump,8
5/25/1992,Kris Kross,Jump,9
6/1/1992,Kris Kross,Jump,10
6/8/1992,Kris Kross,Jump,11
6/15/1992,Mariah Carey,I'll Be There,4
6/22/1992,Mariah Carey,I'll Be There,5
6/29/1992,Sir Mix-A-Lot,Baby Got Back,13
7/6/1992,Sir Mix-A-Lot,Baby Got Back,14
7/13/1992,Sir Mix-A-Lot,Baby Got Back,15
7/20/1992,Sir Mix-A-Lot,Baby Got Back,16
7/27/1992,Sir Mix-A-Lot,Baby Got Back,17
8/3/1992,Madonna,This Used To Be My Playground,6
8/10/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",5
8/17/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",6
8/24/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",7
8/31/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",8
9/7/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",9
9/14/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",10
9/21/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",11
9/28/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",12
10/5/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",13
10/12/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",14
10/19/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",15
10/26/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",16
11/2/1992,Boyz II Men,"End Of The Road (From ""Boomerang"")",17
11/9/1992,The Heights,How Do You Talk To An Angel,7
11/16/1992,The Heights,How Do You Talk To An Angel,8
11/23/1992,Whitney Houston,I Will Always Love You,3
11/30/1992,Whitney Houston,I Will Always Love You,4
12/7/1992,Whitney Houston,I Will Always Love You,5
12/14/1992,Whitney Houston,I Will Always Love You,6
12/21/1992,Whitney Houston,I Will Always Love You,7
12/28/1992,Whitney Houston,I Will Always Love You,8
1/4/1993,Whitney Houston,I Will Always Love You,9
1/11/1993,Whitney Houston,I Will Always Love You,10
1/18/1993,Whitney Houston,I Will Always Love You,11
1/25/1993,Whitney Houston,I Will Always Love You,12
2/1/1993,Whitney Houston,I Will Always Love You,13
2/8/1993,Whitney Houston,I Will Always Love You,14
2/15/1993,Whitney Houston,I Will Always Love You,15
2/22/1993,Whitney Houston,I Will Always Love You,16
3/1/1993,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme),12
3/8/1993,Snow,Informer,10
3/15/1993,Snow,Informer,11
3/22/1993,Snow,Informer,12
3/29/1993,Snow,Informer,13
4/5/1993,Snow,Informer,14
4/12/1993,Snow,Informer,15
4/19/1993,Snow,Informer,16
4/26/1993,Silk,Freak Me,11
5/3/1993,Silk,Freak Me,12
5/10/1993,Janet Jackson,That's The Way Love Goes,3
5/17/1993,Janet Jackson,That's The Way Love Goes,4
5/24/1993,Janet Jackson,That's The Way Love Goes,5
5/31/1993,Janet Jackson,That's The Way Love Goes,6
6/7/1993,Janet Jackson,That's The Way Love Goes,7
6/14/1993,Janet Jackson,That's The Way Love Goes,8
6/21/1993,Janet Jackson,That's The Way Love Goes,9
6/28/1993,Janet Jackson,That's The Way Love Goes,10
7/5/1993,SWV,Weak,12
7/12/1993,SWV,Weak,13
7/19/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",11
7/26/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",12
8/2/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",13
8/9/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",14
8/16/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",15
8/23/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",16
8/30/1993,UB40,"Can't Help Falling In Love (From ""Sliver"")",17
9/6/1993,Mariah Carey,Dreamlover,6
9/13/1993,Mariah Carey,Dreamlover,7
9/20/1993,Mariah Carey,Dreamlover,8
9/27/1993,Mariah Carey,Dreamlover,9
10/4/1993,Mariah Carey,Dreamlover,10
10/11/1993,Mariah Carey,Dreamlover,11
10/18/1993,Mariah Carey,Dreamlover,12
10/25/1993,Mariah Carey,Dreamlover,13
11/1/1993,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),8
11/8/1993,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),9
11/15/1993,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),10
11/22/1993,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),11
11/29/1993,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),12
12/6/1993,Janet Jackson,Again,8
12/13/1993,Janet Jackson,Again,9
12/20/1993,Mariah Carey,Hero,10
12/27/1993,Mariah Carey,Hero,11
1/3/1994,Mariah Carey,Hero,12
1/10/1994,Mariah Carey,Hero,13
1/17/1994,Bryan Adams/Rod Stewart/Sting,All For Love,9
1/24/1994,Bryan Adams/Rod Stewart/Sting,All For Love,10
1/31/1994,Bryan Adams/Rod Stewart/Sting,All For Love,11
2/7/1994,Celine Dion,The Power Of Love,12
2/14/1994,Celine Dion,The Power Of Love,13
2/21/1994,Celine Dion,The Power Of Love,14
2/28/1994,Celine Dion,The Power Of Love,15
3/7/1994,Ace Of Base,The Sign,11
3/14/1994,Ace Of Base,The Sign,12
3/21/1994,Ace Of Base,The Sign,13
3/28/1994,Ace Of Base,The Sign,14
4/4/1994,R. Kelly,Bump N' Grind,10
4/11/1994,R. Kelly,Bump N' Grind,11
4/18/1994,R. Kelly,Bump N' Grind,12
4/25/1994,R. Kelly,Bump N' Grind,13
5/2/1994,Ace Of Base,The Sign,19
5/9/1994,Ace Of Base,The Sign,20
5/16/1994,All-4-One,I Swear,5
5/23/1994,All-4-One,I Swear,6
5/30/1994,All-4-One,I Swear,7
6/6/1994,All-4-One,I Swear,8
6/13/1994,All-4-One,I Swear,9
6/20/1994,All-4-One,I Swear,10
6/27/1994,All-4-One,I Swear,11
7/4/1994,All-4-One,I Swear,12
7/11/1994,All-4-One,I Swear,13
7/18/1994,All-4-One,I Swear,14
7/25/1994,All-4-One,I Swear,15
8/1/1994,Lisa Loeb & Nine Stories,"Stay (I Missed You) (From ""Reality Bites"")",14
8/8/1994,Lisa Loeb & Nine Stories,"Stay (I Missed You) (From ""Reality Bites"")",15
8/15/1994,Lisa Loeb & Nine Stories,"Stay (I Missed You) (From ""Reality Bites"")",16
8/22/1994,Boyz II Men,I'll Make Love To You,3
8/29/1994,Boyz II Men,I'll Make Love To You,4
9/5/1994,Boyz II Men,I'll Make Love To You,5
9/12/1994,Boyz II Men,I'll Make Love To You,6
9/19/1994,Boyz II Men,I'll Make Love To You,7
9/26/1994,Boyz II Men,I'll Make Love To You,8
10/3/1994,Boyz II Men,I'll Make Love To You,9
10/10/1994,Boyz II Men,I'll Make Love To You,10
10/17/1994,Boyz II Men,I'll Make Love To You,11
10/24/1994,Boyz II Men,I'll Make Love To You,12
10/31/1994,Boyz II Men,I'll Make Love To You,13
11/7/1994,Boyz II Men,I'll Make Love To You,14
11/14/1994,Boyz II Men,I'll Make Love To You,15
11/21/1994,Boyz II Men,I'll Make Love To You,16
11/28/1994,Boyz II Men,On Bended Knee,3
12/5/1994,Boyz II Men,On Bended Knee,4
12/12/1994,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",14
12/19/1994,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",15
12/26/1994,Boyz II Men,On Bended Knee,7
1/2/1995,Boyz II Men,On Bended Knee,8
1/9/1995,Boyz II Men,On Bended Knee,9
1/16/1995,Boyz II Men,On Bended Knee,10
1/23/1995,TLC,Creep,12
1/30/1995,TLC,Creep,13
2/6/1995,TLC,Creep,14
2/13/1995,TLC,Creep,15
2/20/1995,Madonna,Take A Bow,11
2/27/1995,Madonna,Take A Bow,12
3/6/1995,Madonna,Take A Bow,13
3/13/1995,Madonna,Take A Bow,14
3/20/1995,Madonna,Take A Bow,15
3/27/1995,Madonna,Take A Bow,16
4/3/1995,Madonna,Take A Bow,17
4/10/1995,Montell Jordan,This Is How We Do It,8
4/17/1995,Montell Jordan,This Is How We Do It,9
4/24/1995,Montell Jordan,This Is How We Do It,10
5/1/1995,Montell Jordan,This Is How We Do It,11
5/8/1995,Montell Jordan,This Is How We Do It,12
5/15/1995,Montell Jordan,This Is How We Do It,13
5/22/1995,Montell Jordan,This Is How We Do It,14
5/29/1995,Bryan Adams,Have You Ever Really Loved A Woman?,8
6/5/1995,Bryan Adams,Have You Ever Really Loved A Woman?,9
6/12/1995,Bryan Adams,Have You Ever Really Loved A Woman?,10
6/19/1995,Bryan Adams,Have You Ever Really Loved A Woman?,11
6/26/1995,Bryan Adams,Have You Ever Really Loved A Woman?,12
7/3/1995,TLC,Waterfalls,5
7/10/1995,TLC,Waterfalls,6
7/17/1995,TLC,Waterfalls,7
7/24/1995,TLC,Waterfalls,8
7/31/1995,TLC,Waterfalls,9
8/7/1995,TLC,Waterfalls,10
8/14/1995,TLC,Waterfalls,11
8/21/1995,Seal,Kiss From A Rose,10
8/28/1995,Michael Jackson,You Are Not Alone,1
9/4/1995,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",4
9/11/1995,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",5
9/18/1995,Coolio Featuring L.V.,"Gangsta's Paradise (From ""Dangerous Minds"")",6
9/25/1995,Mariah Carey,Fantasy,1
10/2/1995,Mariah Carey,Fantasy,2
10/9/1995,Mariah Carey,Fantasy,3
